en,sources,uri,de,,synonyms,synonyms_de,definition_de,definition_en,Beispiele für Softwareprodukte,softwareproducts,Aufgaben der Gesundheitsversorgung,functions (classified),"zusätzliche Aufgaben (AW, FJ)",Kommentare
Digital dictation system,Blaues Buch,MbDigitalDictationSystem,Digitales Diktiersystem,MbDigitalesDiktiersystem,Dictation Transcription System;,Spracherkennungssystem; Digitales Diktat,"Das Digitale Diktiersystem stellt digitale Spracherkennung und -aufzeichnung zur Verfügung und lässt medizinisches Personal die Untersuchungs- und Diagnostikinformationen per Spracheingabe direkt dokumentieren. Es verringert den Verwaltungs- und Personalaufwand, ist oft in andere Anwendungssysteme integriert und kann KI-basiert sein.",,SpeaKING von MediaInterface,,"Schreiben von Berichten, Befunden und Arztbriefen",,,
Enterprise resource planning system,,MbEnterpriseResourcePlanningSystem,Enterprise Resource Planning System,MbEnterpriseResourcePlanningSystem,ERP system; Administrative Information System,Administratives Informationssystem,"Das Enterprise Resource Planning System unterstützt das Managen von Finanzen, Personal und materiellen Ressourcen, sowie die Dokumentation und Abrechnung aller durchgeführten Dienstleistungen. Alle Vorgänge der Verwaltung, Logistik und Versorgung werden systematisch dokumentiert und durch das Überwachen von Kennzahlen kontrolliert. Es macht Echtzeitanalysen auf transaktionalen Daten und ein flexibles, operatives Reporting möglich. Das ERP-System kann sich zusammensetzen aus: Finanzbuchhaltungssystem, Materialwirtschaftssystem, Apothekensystem, Blutbanksystem, Kücheninformationssystem, Technikinformationssystem, etc. Die hier eingesetzte Software ist oft nicht speziell für das Gesundheitswesen entwickelt worden, sondern wird auch in anderen Branchen für administrative Aufgaben eingesetzt.",,S/4HANA von SAP;CGM MEDICO von CompuGroup Medical Deutschland AG,,Betriebssteuerung (Controlling); Finanzbuchhaltung; Gebäude- und Flächenmanagement; Personalwesen; Qualitätsmanagement; Ver- und Entsorgungsmanagement; Nachforderungsmanagement; Logistik; Verwaltung; Materialwirtschaft; Kosten- und Leistungsabrechnung; Statistik,,,
Decision support system,,MbDecisionSupportSystem,Entscheidungsunterstützungssystem,MbEntscheidungsunterstuetzungssystem,Clinical decision support system,Medizinische Wissensdatenbank; KI-Assistenzsystem; KI-System; KI-basierte Systeme; KI-basierte Entscheidungssysteme,"Entscheidungsunterstützungssysteme sind wissensbasierte Systeme, die auf verschiedene Arten dabei helfen die richtige Diagnose oder Behandlung für die Patient:innen zu finden. Nutzer:innen können das kontextsensitive Fachwissen gezielt abrufen oder es wird im Diagnose- und Befundungsprozess aktiv zugespielt. Oft liegt es nicht als separates System vor, sondern ist in andere Anwendungssysteme integriert und wird häufig durch eine KI-Komponente unterstützt. Grundsätzlich kann zwischen einer medizinischen und einer administrativen Nutzung unterschieden werden.",,IBM Watson von IBM; Wissensdatenbank eRef von Thieme; MAIA - Medical Artificial Intelligence Assistant von TIPLU GmbH,,Entscheidungsfindung; Behandlungsplanung; Controlling,,,
Document archiving system,,MbDocumentArchivingSystem,Klinisches Archivsystem,MbKlinischesArchivsystem,Clinical Archive;HCMS; Enterprise Content Management System; ECM System;Health Content Management System,Digitales Archivsystem; Digitales Archiv; Archivsystem; Digitales Dokumentenarchiv; Digitales Langzeitarchiv; Archivmanagement und Dokumentenmanagementsystem; Langzeitarchivlösung; Digitales Universalarchiv,"Das Klinische Archivsystem dient als zentraler Speicher für die Langzeitarchivierung von klinischen und administrativen Dokumenten und Daten aus Scanprozessen, dem Primärsystem oder Sub-/Spezialsystemen. Diese werden mit einer elektronischen Signatur versehen, in standardisierter Form abgelegt und sind leicht wieder abrufbar.",,CGM Clinical Archive von CompuGroup Medical Deutschland AG; AVP von DMI GmbH & Co.KG; x.archiv von medatixx GmbH & Co. KG; smardigo-Archiv von netgo group GmbH;HYDMedia von Agfa Healthcare; synedra AIM von synedra IT GmbH; NEXUS / PEGASOS - Enterprise Content Management for Healthcare von NEXUS AG;mDMAS von RVC Clinical,,Archivierung medizinischer und administrativer Dokumente; Zugriff auf Patientendaten; Entscheidungsfindung;,,,
Vendor Neutral Archive,,MbVendorNeutralArchive,Anbieterneutrales Archiv,MbAnbieterneutralesArchiv,VNA,eArchiv; Multimediales Universalarchiv; Medizinisches Multi-Media-Archiv; Multimediales Dokumentenmanagement- und Archivsystem,"Ein VNA erlaubt die Speicherung medizinischer Bilder, Multimediadaten und sonstiger Dokumente (z.B. Befunde, Laborberichte) und Daten, unabhängig von den Anwendungssystemen, in denen sie erzeugt, bearbeitet oder angezeigt werden. Die Daten sind jederzeit ortsunabhängig verfügbar und über einen integrierten Viewer einsehbar. Die Herstellerunabhängigkeit wird durch die Verwendung von Standards z.B. auf der Basis von IHE gewährleistet.",, RVC Clinical Repository von RVC Medical IT GmbH; SECTRA VNA von SECTRA Medical Systems GmbH,,Speicherung und Archivierung von Patientendaten und -dokumenten;  Bilddatenmanagement,,,
Health management information system,WHO DHI,MbHealthManagementInformationSystem,Health management information system,MbHealthManagementInformationSystem,HMIS; health information system,Gesundheitsinformationssystem,,"The Health Management Information System (HMIS) collects, stores, analyses, and evaluates health-related data from health facility to district, regional and national administrative levels. [https://globalhealthdata.org/health-management-information-systems/ [DOI https://doi.org/10.1186/s12913-019-3991-7]",GNU Health,,Planung und Abwicklung des Behandlungsprozesses; Medizinische und administrative Dokumentation; Controlling; Statistiken; OP-Management; Administration; elektronische Dokumentation von Pflege- und Behandlungsleistungen; stationäre und ambulante Abrechnung; Dokumentations- und Archivierungszwecken; Entscheidungsfindung; Pflegeprozess-Management; Patientendatenmanagement; Ambulanz; Entlassung; Wundmanagement; Digitale Patientenkurve; Medikationsmanagement; Forschung und klinische Studien,,,
Nursing home information system,,MbNursingHomeInformationSystem,Heim- und Pflegeheinformationssystem,MbHeimUndPflegeheinformationssystem,Informationssysteme für Alten- und Pflegeheime,,"Bei Heim- und Pflegeheiminformationssystem liegt der Fokus auf einer professionellen Pflegedokumentation, statt auf der diagnostischen/therapeutischen Leistungserbringung und -abrechnung. Durch die längere Verweildauer der Patient:innen ist es wichtig, dass im System beispielsweise Bargeld und externe Untersuchungstermine für sie verwaltet werden.",,,,Medikationsdokumentation; Verwaltung medizinischer Grunddaten; Bewohnerverwaltung; Abrechnung; Verwaltung von Taschengeld; Verwaltung extern wahrzunehmender Untersuchungstermine; Pflegedokumentation,,,
Information security management system,,MbInformationSecurityManagementSystem,Informationssicherheitsmanagementsystem,MbInformationssicherheitsmanagementsystem,information security management system; data protection management system,ISMS; Managementsystem für Informationssicherheit; Datenschutz-Managementsystem; DSMS,"Das ISMS gibt angemessene technische und organisatorische Maßnahmen vor, um die Informationssicherheit zu gewährleisten. Das beinhaltet die Erstellung von Notfallplänen, entsprechende Leit- bzw. Richtlinien mit Vorgaben zu Rollen und Verantwortlichkeiten, aber auch spezifische Regeln zum Verhalten von Mitarbeitern. Vorwiegend dient es dem Schutz der technischen Infrastruktur, erhöht aber ebenso Patientensicherheit und Behandlungseffektivität.",,Information Security and data protection von x-tention Unternehmensgruppe,,Informations- und Datensicherheit; Risikomanagement und Notfallplanung; Patientensicherheit; Dokumentation klinischer Abläufe,,,
Health finance and insurance information system,WHO-DHI,MbHealthFinanceAndInsuranceInformationSystem,"Informationssysteme der Krankenkassen [Johner, Haas 2009]",MbInformationssystemeDerKrankenkassenJohnerHaas,Information system for health insurances ,,"Bei den Informationssystemen der Krankenkassen liegt der Fokus auf der Administration von Mitgliedern und der mitgliederbezogenen Abrechnung, sowie der Verwaltung des vielfältige Leistungsangebots und der darauf basierenden Verträge.",,,,Verwaltung der Mitglieder; Mitgliedbezogene Abrechnungen; Verwaltung von Leistungsangebot und Vertragsdaten,,,
Cardiovascular information system,Blaues Buch,MbCardiovascularInformationSystem,Kardiologieinformationssystem,MbKardiologieinformationssystem,,,"Das Kardiologieinformationssystem bietet ähnliche Funktionalität wie ein Klinisches Informationssystem, mit Fokus auf die Bedürfnisse einer kardiologischen Abteilung.",,,,"Durchführung von kardiologischen Untersuchungen; Ärztliche Aufnahme; Entscheidungsfindung und Behandlungsplanung; Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Personalwesen; Pflegerische Aufnahme; Erstellung und Fortschreibung eines pflegerischen Behandlungsplans; Durchführung von pflegerischen Maßnahmen; Kodieren von Diagnosen und Maßnahmen; Pflegerische Entlassung und Erstellung des Pflegeabschlussberichtes; Termin- und Ressourcenplanung; Administrative Entlassung und Leistungsabrechnung; Leistungsanforderung",,,
Laboratory information system,Blaues Buch,MbLaboratoryInformationSystem,Laborinformationssystem,MbLaborinformationssystem,Laboratory and diagnostics information system (WHO DHI),"LIS; Laborsystem; Labormanagement-System; 
Labor- Informations- und Managementsystem; LIMS","Das LIS unterstützt alle Schritte der Laboruntersuchung: die Verwaltung von Aufträgen und Proben, die Verteilung der Proben auf die vorhandenen Analysegeräte, das Abrufen und Validieren der Ergebnisse und die abschließende Übermittlung der Ergebnisse an den Auftraggeber. Dadurch wird der nahezu vollautomatische Laborbetrieb ermöglicht, welcher die hohen Durchsatzraten in modernen medizinischen Laborinstituten erlaubt. Analysegeräte können Messwerte über Schnittstellen direkt an das Laborinformationssystem übertragen.",,Opus::L von OSM AG; LabCentre Web von i-SOLUTIONS Health GmbH; NEXUS LAB von NEXUS AG,,Durchführung von Laboruntersuchungen; Auftragsmanagement; Probenmanagement; Patientenverwaltung; Abrechnung; Online-Steuerung von Analysegeräten mit Werterücknahme und Befundvalidierung; Patientenbezogene Befundzusammenführung und Befunddokumentation; Kommunikation der Ergebnisse an die Einsender; Qualitätsmanagement; Nachforderungsmanagement; Terminmanagement; Hygiene-Management,,,
Provider order entry system,,MbProviderOrderEntrySystem,Leistungsanforderungssystem,MbLeistungsanforderungssystem,Physician Order Entry System; POE; Computer-supported POE system; CPOE; Order-Entry-Result; Order-Entry-Reporting; Order Communication System,Leistungskommunikationssystem; Auftrags- und Leistungskommunikation; Digitale Leistungsanforderung; Verordnungsunterstützung; Klinischer Auftrag,"Das Leistungsanforderungssystem organisiert die Abwicklung von Leistungsanforderungen und Befundrückmeldungen zwischen den stationären oder ambulanten Organisationseinheiten und den Leistungsstellen und hilft bei der Formulierung von Aufträgen, der Terminplanung und dem Druck von Etiketten. Alle verfügbaren Services sind intern in Katalogen mit zusätzlichen Informationen zu den Services aufgelistet. Der Fokus liegt häufig auf der Medikamentenverordnung, daher enthält es oft eine Entscheidungsunterstützungs-Komponente, um Medikationsfehler zu vermeiden.",,LAURIS von NEXUS AG,,Leistungsanforderung (sowohl diagnostische oder therapeutische Maßnahmen als auch Medikamente); Auftrags- und Befundkommunikation,,,
Emergency response system,"[Johner, Haas 2009]]",MbEmergencyResponseSystem,Leitstelleninformationssystem,MbLeitstelleninformationssystem,,,Das Leitstelleninformationssystem erlaubt die Kontrolle der Einsatzfahrzeuge von der Leitstelle aus und die Dokumentation der Einsätze. Eine medizinische Dokumentation wird über eine Verbindung mit dem Notarztrettungsprotokoll sichergestellt.,,,,Personalverwaltung mit Dienstplanung; Material- und Geräteverwaltung; Arzneimittelverwaltung; Einsatzdokumentation; Statistik; Qualitätsmanagement,,Management von Rettungseinsätzen,
Medical documentation system,,MbMedicalDocumentationSystem,Medizinisches Dokumentationssystem,MbMedizinischesDokumentationssystem,,,"Das Medizinisches Dokumentationssystem unterstützt die ärztliche medizinische Dokumentation, indem es unterschiedlich stark strukturierte Formulare zur Erstellung von Berichten und Funktionen zur Analyse von Texten bereitstellt. Oft ist auch eine integrierte Spracherkennung enthalten. Es bildet die Basis für gesteigerte Produktivität, Behandlungsqualität und Patientensicherheit. Als Baustein der digitalen Patientenakte, dient es als Ersatz für die Papierakte.",,,,"Ärztliche Aufnahme; Entscheidungsfindung und Behandlungsplanung; Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Personalwesen",,,
Oncology information system,,MbOncologyInformationSystem,Onkologieinformationssystem,MbOnkologieinformationssystem,,,"Das Onkologieinformationssystem bietet ähnliche Funktionalität wie ein Klinisches Informationssystem, mit Fokus auf die Bedürfnisse einer onkologischen Abteilung.",,,,"Ärztliche Aufnahme; Entscheidungsfindung und Behandlungsplanung; Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Personalwesen; Pflegerische Aufnahme; Erstellung und Fortschreibung eines pflegerischen Behandlungsplans; Durchführung von pflegerischen Maßnahmen; Kodieren von Diagnosen und Maßnahmen; Pflegerische Entlassung und Erstellung des Pflegeabschlussberichtes; Termin- und Ressourcenplanung; Administrative Entlassung und Leistungsabrechnung; Leistungsanforderung",,"Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen in der Onkologie",
Surgical assist system,,MbSurgicalAssistSystem,OP-Assistenzsystem,MbOpassistenzsystem,,Navigationssystem; Planungssystem,"OP-Assistenzsysteme kommen zum Einsatz um den Chirurgen bei seiner komplexen Tätigkeit in einem zunehmend technischen Umfeld zu unterstützen. Die Führung des Chirurgen durch den Eingriff, das Warnen vor Komplikationen, die Berechnung der genauen Lage des Tumors und die Leitung an diese Position, sind alles mögliche Funktionen. Oftmals werden diese Systeme mittels KI unterstützt.",,,,Durchführung von Operationen,,,
Operation management system,,MbOperationManagementSystem,OP-Managementsystem,MbOpmanagementsystem,,OP-Planungssystem,"Das OP-Managementsystem begleitet die Planung der Operation und koordiniert die Daten über den Termin, das eingesetzte medizinische Personal und Geräte, sowie den zu operierenden Patient:innen. Während der Operation unterstützt es die Dokumentation von Ablauf und Dauer der durchgeführten Prozedur, sowie der dabei verwendeten Materialien und falls nötig der Anästhesie.",,Centricity Opera von GE Healthcare,,Ärztliche Aufnahme; Entscheidungsfindung und Aufklärung; Durchführung von Operationen; Dokumentieren von Operationen; Planen von Operationen; Kodieren von Diagnosen und Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Ver- und Entsorgungsmanagement; Termin- und Ressourcenplanung; Dienstplanung und Zeitwirtschaft; Hygienemanagement,,,
Orthopedics information system,,MbOrthopedicsInformationSystem,Orthopädieinformationssystem,MbOrthopaedieinformationssystem,,,"Das Orthopädieinformationssystem bietet ähnliche Funktionalität wie ein Klinisches Informationssystem, mit Fokus auf die Bedürfnisse einer orthopädischen Abteilung und kann ein computergestütztes Tool für die Planung von Transplantaten beinhalten.",,,,"Ärztliche Aufnahme; Entscheidungsfindung und Behandlungsplanung; Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Personalwesen; Pflegerische Aufnahme; Erstellung und Fortschreibung eines pflegerischen Behandlungsplans; Durchführung von pflegerischen Maßnahmen; Kodieren von Diagnosen und Maßnahmen; Pflegerische Entlassung und Erstellung des Pflegeabschlussberichtes; Termin- und Ressourcenplanung; Administrative Entlassung und Leistungsabrechnung; Leistungsanforderung",,"Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen in der Orthopädie; Planung von Transplantaten",
Pathology information system,,MbPathologyInformationSystem,Pathologieinformationssystem,MbPathologieinformationssystem,,,Das Pathologieinformationssystem hilft dabei die Vielzahl der unterschiedlichen Untersuchungen und deren Durchführung und Auswertung in pathologischen Laboren zu organisieren und unterstützt effiziente und effektive Arbeitsabläufe. Das System ähnelt in seinen Funktionalitäten einem Laborinformationssystem und erlaubt die Integration von Spezialgeräten.,,NEXUS / PATHOLOGIE von NEXUS AG; LabCentre Pathologie von i-SOLUTIONS Health GmbH,,Durchführung von pathologischen Untersuchungen; Untersuchungen organisieren; Ergebnisse dokumentieren; Befunderstellung und -versand; Abrechnung; Digitale Archivierung des Bildmaterials; Entgegennahme Untersuchungsaufträge und Proben; Materialwirtschaft,,,
Patient entertainment system,,MbPatientEntertainmentSystem,Patientenentertainmentsystem,MbPatientenentertainmentsystem,,,"Das Patientenentertainmentsystem stellt während eines Krankenhausaufenthaltes Multi-Media-Unterhaltung (TV, Video on Demand, Magazine, Hörbücher etc.) für Patient:innen bereit.",,,,Patientenentertainment,,,
Patient data management system,,MbPatientDataManagementSystem,Patientendatenmanagementsystem,MbPatientendatenmanagementsystem,ICU management system,PDMS,"Die Aufgabe des PDMS ist die ständige Überwachung der Vitalfunktionen der Patient:innen auf einer Intensivstation. Außerdem übernimmt es vollautomatisch sämtliche Daten von medizinischen Geräten, speichert diese und analysiert diese. Bei lebensbedrohlichen Veränderungen alarmiert es das medizinische Personal.",,COPRA von COPRA System GmbH; Integrated Care Manager (ICM) von Dräger; ORBIS ICU-Manager von Dedalus HealthCare GmbH; Centricity High Acuity von Sanitas GmbH,,"Ärztliche Aufnahme; Erstellung und Fortschreibung eines ärztlichen bzw. pflegerischen Behandlungsplanes; Durchführung von diagnostischen, therapeutischen und pflegerischen Maßnahmen; Kodieren von Diagnosen und Maßnahmen; Entlassung und Weiterleitung an eine andere Einrichtung; Ver- und Entsorgungsmanagement; Termin- und Ressourcenplanung; Personalwesen; Durchführung intensivmedizinischer Maßnahmen; Entscheidungsunterstützung; Dokumentation von Patientendaten",,,
Patient-managed health record system,,MbPatientmanagedHealthRecordSystem,"Patientengeführtes elektronische Patientenaktensystem, Patientengeführte elektronische Patientenakte",MbPatientengefuehrtesElektronischePatientenaktensystemPatientengefuehrteElektronischePatientenakte,Electronic Health Record System; EHR System; Electronic Patient Record; Digital health record on mobile devices,Elektronische Patientenakte; EPA; Elektronisches Patientendossier; Elektronische Gesundheitsakte; EGA; Webbasierte Gesundheitsakte; Online-Gesundheitsakte,"Die patientengeführte EPA bietet ein sicheres Management von Patientendaten auf mobilen Geräten, die unter anderem Notfalldaten, die patienteneigene Behandlungshistorie, Röntgenbilder, Befunde und Medikationspläne beinhalten können. Die Informationen sind für die Patient:innen jederzeit zugänglich, so sind lebenswichtige Informationen schnell verfügbar. Die Patient:in selbst ist Inhaber der eigenen Akte und kann Inhalte hochladen und entfernen, sowie Ärzt:innen den Zugriff erlauben oder entziehen.",,TK-Safe von Die Techniker; Vivy Health von Vivy GmbH; TI Pass von Achelos,,Entscheidungsfindung; Archivierung von Behandlungsinformationen,,,
Patient portal,,MbPatientPortal,Patienteninformationssystem,MbPatienteninformationssystem,,Informationsplattform für Patienten; Digitale Patienten-Services; Gesundheitsportal,"Patientenportale  begleiten und unterstützen Patient:innen vor, während und nach dem Klinikaufenthalt und sind damit Teil der gesamten Patient Journey. Vor der Aufnahme können den Patient:innen darüber digital wichtige Informationen zu Einweisung, Behandlung oder Anreise gegeben werden. Am Point of Care kann es zu verbesserter Kommunikation und Prozessen beitragen und nach der Entlassung können darüber Folgetermine vereinbart und Nachsorge-Angebote bereitgestellt werden. Das Patientenportal bildet das Bindeglied zwischen dem Patient:innen und den an der Behandlung beteiligten Leistungserbringern. Seine Hauptaufgabe ist das digitales Aufnahme- und Entlassmanagement, sowie das Überleitungsmanagement, um Patient:innen an nachgelagerte Leistungserbringer zu übergeben.",,m.Doc Smart Clinic von m.Doc; Journi von MEDIX-CARE; NEXUS / PORTAL von NEXUS AG; Patientenportal 4.0 von PLANFOX; Patient Portal von x-tention Unternehmensgruppe; Smartify Patient Portal von Smartify IT Solutions GmbH; Gesundheitsportal iMedOne® von Telekom Healthcare Solutions,,Aufnahme- und Entlassmanagement; Überleitungsmanagement; Terminverwaltung; Patientenentertainment,,,
