en,uri,unique,dctsource-suffix,dctsource,super,source,
Provide forms for documenting patient‟s informed consent,ProvideFormsForDocumentingPatientsInformedConsent,ProvideFormsForDocumentingPatientsInformedConsent,ProvideFormsForDocumentingPatientsInformedConsent,bb:ProvideFormsForDocumentingPatientsInformedConsent,DecisionMakingPlanningAndOrganizationOfPatientTreatment,,MedicalAdmission
Provide forms for documenting planned tasks,ProvideFormsForDocumentingPlannedTasks,ProvideFormsForDocumentingPlannedTasks,ProvideFormsForDocumentingPlannedTasks,bb:ProvideFormsForDocumentingPlannedTasks,DecisionMakingPlanningAndOrganizationOfPatientTreatment,,MedicalAndNursingCarePlanning
Provide guidelines for care planning,ProvideGuidelinesForCarePlanning,ProvideGuidelinesForCarePlanning,ProvideGuidelinesForCarePlanning,bb:ProvideGuidelinesForCarePlanning,DecisionMakingPlanningAndOrganizationOfPatientTreatment,,NursingAdmission
Provide context related medical knowledge,ProvideContextRelatedMedicalKnowledge,ProvideContextRelatedMedicalKnowledge,ProvideContextRelatedMedicalKnowledge,bb:ProvideContextRelatedMedicalKnowledge,DecisionMakingPlanningAndOrganizationOfPatientTreatment,,NursingDischargeAndNursingReportWriting
Provide forms for entering clinical data (free-text or structured),ProvideFormsForEnteringClinicalDataFreetextOrStructured,ProvideFormsForEnteringClinicalDataFreetextOrStructured,,,ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,OrderEntry
Provide forms for preparing clinical reports,ProvideFormsForPreparingClinicalReports,ProvideFormsForPreparingClinicalReports,ProvideFormsForPreparingClinicalReports,bb:ProvideFormsForPreparingClinicalReports,ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,PatientDischargeAndTransferToOtherInstitutions
Print reports,PrintReports,PrintReports,PrintReports,bb:PrintReports,ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,PatientIdentificationAndCheckingForRecurrent
Provide forms for writing the discharge letter or discharge report,ProvideFormsForWritingTheDischargeLetterOrDischargeReport,ProvideFormsForWritingTheDischargeLetterOrDischargeReport,ProvideFormsForWritingTheDischargeLetterOrDischargeReport,bb:ProvideFormsForWritingTheDischargeLetterOrDischargeReport,PatientDischargeAndTransferToOtherInstitutions,,QualityManagement
Provide means for finalizing documentation,ProvideMeansForFinalizingDocumentation,ProvideMeansForFinalizingDocumentation,ProvideMeansForFinalizingDocumentation,bb:ProvideMeansForFinalizingDocumentation,PatientDischargeAndTransferToOtherInstitutions,,ScheduleAndResourceAllocation
Provide means for managing ward staff,ProvideMeansForManagingWardStaff,ProvideMeansForManagingWardStaff,ProvideMeansForManagingWardStaff,bb:ProvideMeansForManagingWardStaff,HumanResourceManagement,,SchedulingAndResourceAllocation
Creating a roster,CreatingARoster,CreatingARoster,CreatingARoster,bb:CreatingARoster,HumanResourceManagement,,SupplyAndDisposalManagement
Assign doctors to patients or rooms,AssignDoctorsToPatientsOrRooms,AssignDoctorsToPatientsOrRooms,AssignDoctorsToPatientsOrRooms,bb:AssignDoctorsToPatientsOrRooms,HumanResourceManagement,,SupplyAndDisposalManagementSchedulingAndResourceAllocation
Provide forms for documenting the nursing history,ProvideFormsForDocumentingTheNursingHistory,ProvideFormsForDocumentingTheNursingHistory,ProvideFormsForDocumentingTheNursingHistory,bb:ProvideFormsForDocumentingTheNursingHistory,NursingAdmission,,SupplyAndDisposalManagementSchedulingAndResourceAllocation
Provide forms for documenting diagnosis and problems,ProvideFormsForDocumentingDiagnosisAndProblems,ProvideFormsForDocumentingDiagnosisAndProblems,ProvideFormsForDocumentingDiagnosisAndProblems,bb:ProvideFormsForDocumentingDiagnosisAndProblems,MedicalAndNursingCarePlanning,,VisitorAndInformationService
Provide forms for documenting nursing aims,ProvideFormsForDocumentingNursingAims,ProvideFormsForDocumentingNursingAims,ProvideFormsForDocumentingNursingAims,bb:ProvideFormsForDocumentingNursingAims,MedicalAndNursingCarePlanning,,WorkSchedulingAndTimeManagement
Provide forms for documenting nursing tasks,ProvideFormsForDocumentingNursingTasks,ProvideFormsForDocumentingNursingTasks,ProvideFormsForDocumentingNursingTasks,bb:ProvideFormsForDocumentingNursingTasks,MedicalAndNursingCarePlanning,,
Support creation of a nursing care plan,SupportCreationOfANursingCarePlan,SupportCreationOfANursingCarePlan,SupportCreationOfANursingCarePlan,bb:SupportCreationOfANursingCarePlan,MedicalAndNursingCarePlanning,,
Provide forms for documenting performed tasks,ProvideFormsForDocumentingPerformedTasks,ProvideFormsForDocumentingPerformedTasks,ProvideFormsForDocumentingPerformedTasks,bb:ProvideFormsForDocumentingPerformedTasks,ExecutionOfNursingProcedures,,
Provide forms for documenting the outcome of nursing tasks,ProvideFormsForDocumentingTheOutcomeOfNursingTasks,ProvideFormsForDocumentingTheOutcomeOfNursingTasks,ProvideFormsForDocumentingTheOutcomeOfNursingTasks,bb:ProvideFormsForDocumentingTheOutcomeOfNursingTasks,ExecutionOfNursingProcedures,,
Provide catalogs and other means for coding of nursing diagnosis,ProvideCatalogsAndOtherMeansForCodingOfNursingDiagnosis,ProvideCatalogsAndOtherMeansForCodingOfNursingDiagnosis,ProvideCatalogsAndOtherMeansForCodingOfNursingDiagnosis,bb:ProvideCatalogsAndOtherMeansForCodingOfNursingDiagnosis,CodingOfDiagnosesAndProcedures,,
Provide catalogs and other means for coding of nursing procedures,ProvideCatalogsAndOtherMeansForCodingOfNursingProcedures,ProvideCatalogsAndOtherMeansForCodingOfNursingProcedures,ProvideCatalogsAndOtherMeansForCodingOfNursingProcedures,bb:ProvideCatalogsAndOtherMeansForCodingOfNursingProcedures,CodingOfDiagnosesAndProcedures,,
Provide forms for writing the nursing discharge report,ProvideFormsForWritingTheNursingDischargeReport,ProvideFormsForWritingTheNursingDischargeReport,ProvideFormsForWritingTheNursingDischargeReport,bb:ProvideFormsForWritingTheNursingDischargeReport,NursingDischargeAndNursingReportWriting,,
Provide means for finalizing nursing documentation,ProvideMeansForFinalizingNursingDocumentation,ProvideMeansForFinalizingNursingDocumentation,ProvideMeansForFinalizingNursingDocumentation,bb:ProvideMeansForFinalizingNursingDocumentation,NursingDischargeAndNursingReportWriting,,
Communicate discharge information,CommunicateDischargeInformation,CommunicateDischargeInformation,CommunicateDischargeInformation,bb:CommunicateDischargeInformation,NursingDischargeAndNursingReportWriting;PatientDischargeAndTransferToOtherInstitutions,,
Provide means for creating a roster,ProvideMeansForCreatingARoster,ProvideMeansForCreatingARoster,ProvideMeansForCreatingARoster,bb:ProvideMeansForCreatingARoster,HumanResourceManagement,,
Print forms,PrintForms,PrintForms,PrintForms,bb:PrintForms,SchedulingAndResourceAllocation;ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,
Provide means for preparing ward-related statistics,ProvideMeansForPreparingWardrelatedStatistics,ProvideMeansForPreparingWardrelatedStatistics,,,SchedulingAndResourceAllocation,,
Provide means for managing outpatient unit's staff,ProvideMeansForManagingOutpatientUnitsStaff,ProvideMeansForManagingOutpatientUnitsStaff,ProvideMeansForManagingOutpatientUnitsStaff,bb:ProvideMeansForManagingOutpatientUnitsStaff,HumanResourceManagement,,
Assign staff to patients or outpatient units,AssignStaffToPatientsOrOutpatientUnits,AssignStaffToPatientsOrOutpatientUnits,AssignStaffToPatientsOrOutpatientUnits,bb:AssignStaffToPatientsOrOutpatientUnits,HumanResourceManagement,,
Provide means for check-in of patient,ProvideMeansForCheckinOfPatient,ProvideMeansForCheckinOfPatient,,,MedicalAdmission,,
Provide forms for patients‟ informed consent,ProvideFormsForPatientsInformedConsent,ProvideFormsForPatientsInformedConsent,ProvideFormsForPatientsInformedConsent,bb:ProvideFormsForPatientsInformedConsent,DecisionMakingPlanningAndOrganizationOfPatientTreatment,,
Provide guidelines for treatment planning,ProvideGuidelinesForTreatmentPlanning,ProvideGuidelinesForTreatmentPlanning,ProvideGuidelinesForTreatmentPlanning,bb:ProvideGuidelinesForTreatmentPlanning,DecisionMakingPlanningAndOrganizationOfPatientTreatment,,
Provide forms for clinical reports,ProvideFormsForClinicalReports,ProvideFormsForClinicalReports,ProvideFormsForClinicalReports,bb:ProvideFormsForClinicalReports,ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,
Provide forms for writing the discharge report,ProvideFormsForWritingTheDischargeReport,ProvideFormsForWritingTheDischargeReport,ProvideFormsForWritingTheDischargeReport,bb:ProvideFormsForWritingTheDischargeReport,PatientDischargeAndTransferToOtherInstitutions,,
Provide means for initiating final billing for outpatient treatment,ProvideMeansForInitiatingFinalBillingForOutpatientTreatment,ProvideMeansForInitiatingFinalBillingForOutpatientTreatment,ProvideMeansForInitiatingFinalBillingForOutpatientTreatment,bb:ProvideMeansForInitiatingFinalBillingForOutpatientTreatment,AdministrativeDischargeAndBilling,,
Provide orders for patient-related drugs,ProvideOrdersForPatientrelatedDrugs,ProvideOrdersForPatientrelatedDrugs,,,OrderEntry,,
Provide drug catalogs,ProvideDrugCatalogs,ProvideDrugCatalogs,ProvideDrugCatalogs,bb:ProvideDrugCatalogs,OrderEntry,,
Provide means for minimizing adverse drug events,ProvideMeansForMinimizingAdverseDrugEvents,ProvideMeansForMinimizingAdverseDrugEvents,ProvideMeansForMinimizingAdverseDrugEvents,bb:ProvideMeansForMinimizingAdverseDrugEvents,OrderEntry,,
Calculate dosage of drugs,CalculateDosageOfDrugs,CalculateDosageOfDrugs,CalculateDosageOfDrugs,bb:CalculateDosageOfDrugs,OrderEntry,,
Provide orders for patient-related examinations,ProvideOrdersForPatientrelatedExaminations,ProvideOrdersForPatientrelatedExaminations,,,OrderEntry,,
Select orders from order sets,SelectOrdersFromOrderSets,SelectOrdersFromOrderSets,SelectOrdersFromOrderSets,bb:SelectOrdersFromOrderSets,OrderEntry,,
Provide means for scheduling patient's appointments,ProvideMeansForSchedulingPatientsAppointments,ViewPatientrelatedAppointments,,,OrderEntry,,
View patient-related appointments,ViewPatientrelatedAppointments,ProvideMeansForPreparingACarePlan,,,OrderEntry,,
Provide means for preparing a care plan,ProvideMeansForPreparingACarePlan,OfferDecisionsupportForCarePlanning,ProvideMeansForPreparingACarePlan,bb:ProvideMeansForPreparingACarePlan,MedicalAndNursingCarePlanning,,
Offer decision-support for care planning,OfferDecisionsupportForCarePlanning,DisplayVitalParametersFromMonitoringDevices,,,MedicalAndNursingCarePlanning,,
Display vital parameters from monitoring devices,DisplayVitalParametersFromMonitoringDevices,DisplayWarningMessages,DisplayVitalParametersFromMonitoringDevices,bb:DisplayVitalParametersFromMonitoringDevices,ExecutionOfDiagnosticTherapeuticAndNursingProcedures;ExecutionOfAnOperation,,
Display warning messages,DisplayWarningMessages,ProvideFormsForDocumentingClinicalProcedures,DisplayWarningMessages,bb:DisplayWarningMessages,ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,
Provide forms for documenting clinical procedures,ProvideFormsForDocumentingClinicalProcedures,ProvideFormsForDocumentingMedications,ProvideFormsForDocumentingClinicalProcedures,bb:ProvideFormsForDocumentingClinicalProcedures,ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,
Provide forms for documenting medications,ProvideFormsForDocumentingMedications,CreateWorkListForAGroupOfPatients,ProvideFormsForDocumentingMedications,bb:ProvideFormsForDocumentingMedications,ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,
Create work list for a group of patients,CreateWorkListForAGroupOfPatients,ProvideMeansForCreatingStatistics,,,ExecutionOfDiagnosticTherapeuticAndNursingProcedures,,
Provide means for creating statistics,ProvideMeansForCreatingStatistics,ScoringOfThePatientEgTissSapsii,ProvideMeansForCreatingStatistics,bb:ProvideMeansForCreatingStatistics,ExecutionOfDiagnosticTherapeuticAndNursingProcedures;CodingOfDiagnosesAndProcedures,,
"Scoring of the patient (e.g., TISS, SAPSII)",ScoringOfThePatientEgTissSapsii,ProvideCatalogsAndOtherMeansForCodingOfProcedures,,,CodingOfDiagnosesAndProcedures,,
Provide catalogs and other means for coding of procedures,ProvideCatalogsAndOtherMeansForCodingOfProcedures,ProvideCatalogsAndOtherMeansForCodingOfDiagnoses,,,CodingOfDiagnosesAndProcedures,,
Provide catalogs and other means for coding of diagnoses,ProvideCatalogsAndOtherMeansForCodingOfDiagnoses,ProvideFormsForWritingATransferLetterOrDischargeReport,,,CodingOfDiagnosesAndProcedures,,
Provide forms for writing a transfer letter or discharge report,ProvideFormsForWritingATransferLetterOrDischargeReport,ProvideMeansForOrderingPatientTransferToOtherUnits,ProvideFormsForWritingATransferLetterOrDischargeReport,bb:ProvideFormsForWritingATransferLetterOrDischargeReport,PatientDischargeAndTransferToOtherInstitutions,,
Provide means for ordering patient transfer to other units,ProvideMeansForOrderingPatientTransferToOtherUnits,AssignStaffToPatientsOrRooms,ProvideMeansForOrderingPatientTransferToOtherUnits,bb:ProvideMeansForOrderingPatientTransferToOtherUnits,PatientDischargeAndTransferToOtherInstitutions,,
Assign staff to patients or rooms,AssignStaffToPatientsOrRooms,ProvideMeansForOrderingConsumables,AssignStaffToPatientsOrRooms,bb:AssignStaffToPatientsOrRooms,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
Provide means for ordering consumables,ProvideMeansForOrderingConsumables,ProvideMeansForOrderingDrugs,ProvideMeansForOrderingConsumables,bb:ProvideMeansForOrderingConsumables,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
Provide means for ordering drugs,ProvideMeansForOrderingDrugs,ProvideMeansForOrderingLaundry,ProvideMeansForOrderingDrugs,bb:ProvideMeansForOrderingDrugs,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
Provide means for ordering laundry,ProvideMeansForOrderingLaundry,ProvideMeansForManagingMedicalDevices,ProvideMeansForOrderingLaundry,bb:ProvideMeansForOrderingLaundry,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
Provide means for managing medical devices,ProvideMeansForManagingMedicalDevices,OrganizePatientTransport,ProvideMeansForManagingMedicalDevices,bb:ProvideMeansForManagingMedicalDevices,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
Organize patient transport,OrganizePatientTransport,WorkScheduling,OrganizePatientTransport,bb:OrganizePatientTransport,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
Work scheduling,WorkScheduling,ProvideFormsForDocumentingProceduresAndOutcomes,WorkScheduling,bb:WorkScheduling,HumanResourceManagement,,
Provide forms for documenting patients' informed consent,ProvideFormsForDocumentingPatientsInformedConsent,ProvideFormsForPreparingOperationReports,ProvideFormsForDocumentingPatientsInformedConsent,bb:ProvideFormsForDocumentingPatientsInformedConsent,DecisionMakingAndPatientInformation,,
Provide forms for documenting procedures and outcomes,ProvideFormsForDocumentingProceduresAndOutcomes,ProvideMeansForOrderingPatientTransferToWard,ProvideFormsForDocumentingProceduresAndOutcomes,bb:ProvideFormsForDocumentingProceduresAndOutcomes,ExecutionOfAnOperation,,
Provide forms for preparing operation reports,ProvideFormsForPreparingOperationReports,ProvideMeansForManagingRooms,ProvideFormsForPreparingOperationReports,bb:ProvideFormsForPreparingOperationReports,PatientDischargeAndTransferToOtherInstitutions,,
Provide means for ordering patient transfer to ward,ProvideMeansForOrderingPatientTransferToWard,ProvideMeansForManagingAppointments,ProvideMeansForOrderingPatientTransferToWard,bb:ProvideMeansForOrderingPatientTransferToWard,PatientDischargeAndTransferToOtherInstitutions,,
Provide means for managing rooms,ProvideMeansForManagingRooms,ProvideMeansForOrderingDrugsMaterialsAndLaundry,ProvideMeansForManagingRooms,bb:ProvideMeansForManagingRooms,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
Provide means for managing appointments,ProvideMeansForManagingAppointments,ProvideMeansForCreatingOperationPlansDailyWeekly,ProvideMeansForManagingAppointments,bb:ProvideMeansForManagingAppointments,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
"Provide means for ordering drugs, materials and laundry",ProvideMeansForOrderingDrugsMaterialsAndLaundry,ProvideMeansForPreparingWorkSchedules,ProvideMeansForOrderingDrugsMaterialsAndLaundry,bb:ProvideMeansForOrderingDrugsMaterialsAndLaundry,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
"Provide means for creating operation plans (daily, weekly)",ProvideMeansForCreatingOperationPlansDailyWeekly,ReceiveOrders,,,SupplyAndDisposalManagement;SchedulingAndResourceAllocation,,
Provide means for preparing work schedules,ProvideMeansForPreparingWorkSchedules,AssignOrdersToModalities,ProvideMeansForPreparingWorkSchedules,bb:ProvideMeansForPreparingWorkSchedules,WorkOrganizationAndTimeManagement,,
Receive orders,ReceiveOrders,ProvideFormsForWritingAReport,ReceiveOrders,bb:ReceiveOrders,ExecutionOfRadiologicalExaminations;ExecutionOfLabExaminations,,
Assign orders to modalities,AssignOrdersToModalities,AssignPatientsToModalities,AssignOrdersToModalities,bb:AssignOrdersToModalities,ExecutionOfRadiologicalExaminations,,
Provide forms for writing a report,ProvideFormsForWritingAReport,ProvideCatalogsAndOtherMeansForCodingRadiologicalDiagnoses,ProvideFormsForWritingAReport,bb:ProvideFormsForWritingAReport,ExecutionOfRadiologicalExaminations,,
Assign patients to modalities,AssignPatientsToModalities,ProvideCatalogsAndOtherMeansForCodingRadiologicalProcedures,AssignPatientsToModalities,bb:AssignPatientsToModalities,AppointmentScheduling,,
Provide catalogs and other means for coding radiological diagnoses,ProvideCatalogsAndOtherMeansForCodingRadiologicalDiagnoses,ManageModalities,ProvideCatalogsAndOtherMeansForCodingRadiologicalDiagnoses,bb:ProvideCatalogsAndOtherMeansForCodingRadiologicalDiagnoses,CodingOfDiagnosesAndProcedures,,
Provide catalogs and other means for coding radiological procedures,ProvideCatalogsAndOtherMeansForCodingRadiologicalProcedures,DisplayPictures,ProvideCatalogsAndOtherMeansForCodingRadiologicalProcedures,bb:ProvideCatalogsAndOtherMeansForCodingRadiologicalProcedures,CodingOfDiagnosesAndProcedures,,
Manage modalities,ManageModalities,ModifyPresentationOfPictures,ManageModalities,bb:ManageModalities,ManagementOfMedicalDevices,,
Display pictures,DisplayPictures,CommunicatePictures,DisplayPictures,bb:DisplayPictures,ExecutionOfRadiologicalExaminations,,
Modify presentation of pictures,ModifyPresentationOfPictures,ArchivePictures,ModifyPresentationOfPictures,bb:ModifyPresentationOfPictures,ExecutionOfRadiologicalExaminations,,
Communicate pictures,CommunicatePictures,SearchForOldPictures,CommunicatePictures,bb:CommunicatePictures,ExecutionOfRadiologicalExaminations,,
Archive pictures,ArchivePictures,ReceiveBloodSamples,ArchivePictures,bb:ArchivePictures,ExecutionOfRadiologicalExaminations,,
Search for old pictures,SearchForOldPictures,AssignOrderAndBloodSamplesToDevices,SearchForOldPictures,bb:SearchForOldPictures,ExecutionOfRadiologicalExaminations,,
Receive blood samples,ReceiveBloodSamples,CollectResultsFromDevices,ReceiveBloodSamples,bb:ReceiveBloodSamples,ExecutionOfLabExaminations,,
Assign order and blood samples to devices,AssignOrderAndBloodSamplesToDevices,DisplayEarlierLabResultsOfAPatient,AssignOrderAndBloodSamplesToDevices,bb:AssignOrderAndBloodSamplesToDevices,ExecutionOfLabExaminations,,
Collect results from devices,CollectResultsFromDevices,ValidateResults,CollectResultsFromDevices,bb:CollectResultsFromDevices,ExecutionOfLabExaminations,,
Display earlier lab results of a patient,DisplayEarlierLabResultsOfAPatient,PrepareReport,DisplayEarlierLabResultsOfAPatient,bb:DisplayEarlierLabResultsOfAPatient,ExecutionOfLabExaminations,,
Validate results,ValidateResults,CommunicateReportToOrderingUnit,ValidateResults,bb:ValidateResults,ExecutionOfLabExaminations,,
Prepare report,PrepareReport,ProvideMeansForPreparingStatistics,PrepareReport,bb:PrepareReport,ExecutionOfLabExaminations,,
Communicate report to ordering unit,CommunicateReportToOrderingUnit,ProvideMeansForOverheadCostManagement,CommunicateReportToOrderingUnit,bb:CommunicateReportToOrderingUnit,ExecutionOfLabExaminations,,
Provide means for preparing statistics,ProvideMeansForPreparingStatistics,ProvideMeansForProductCosting,ProvideMeansForPreparingStatistics,bb:ProvideMeansForPreparingStatistics,ExecutionOfLabExaminations,,
Provide means for overhead cost management,ProvideMeansForOverheadCostManagement,ProvideMeansForCostCenterAccounting,ProvideMeansForOverheadCostManagement,bb:ProvideMeansForOverheadCostManagement,Controlling,,
Provide means for product costing,ProvideMeansForProductCosting,ProvideMeansForCostElementAccounting,ProvideMeansForProductCosting,bb:ProvideMeansForProductCosting,Controlling,,
Provide means for cost center accounting,ProvideMeansForCostCenterAccounting,ProvideMeansForAccountsPayable,ProvideMeansForCostCenterAccounting,bb:ProvideMeansForCostCenterAccounting,Controlling,,
Provide means for cost element accounting,ProvideMeansForCostElementAccounting,ProvideMeansForAccountsReceivable,ProvideMeansForCostElementAccounting,bb:ProvideMeansForCostElementAccounting,Controlling,,
Provide means for accounts payable,ProvideMeansForAccountsPayable,ProvideMeansForGeneralLedgerAccounting,ProvideMeansForAccountsPayable,bb:ProvideMeansForAccountsPayable,FinancialAccounting,,
Provide means for accounts receivable,ProvideMeansForAccountsReceivable,ProvideMeansForAssetAccounting,ProvideMeansForAccountsReceivable,bb:ProvideMeansForAccountsReceivable,FinancialAccounting,,
Provide means for general ledger accounting,ProvideMeansForGeneralLedgerAccounting,ProvideMeansForPreventiveMaintenance,ProvideMeansForGeneralLedgerAccounting,bb:ProvideMeansForGeneralLedgerAccounting,FinancialAccounting,,
Provide means for asset accounting,ProvideMeansForAssetAccounting,ProvideMeansForControlOfSecurityIssues,ProvideMeansForAssetAccounting,bb:ProvideMeansForAssetAccounting,FinancialAccounting,,
Provide means for preventive maintenance,ProvideMeansForPreventiveMaintenance,ProvideMeansForIncidentTracking,ProvideMeansForPreventiveMaintenance,bb:ProvideMeansForPreventiveMaintenance,FacilityManagement,,
Provide means for control of security issues,ProvideMeansForControlOfSecurityIssues,ProvideMeansForOrganizingRecruitment,ProvideMeansForControlOfSecurityIssues,bb:ProvideMeansForControlOfSecurityIssues,FacilityManagement,,
Provide means for incident tracking,ProvideMeansForIncidentTracking,ProvideMeansForOrganizingTraining,ProvideMeansForIncidentTracking,bb:ProvideMeansForIncidentTracking,FacilityManagement,,
Provide means for organizing recruitment,ProvideMeansForOrganizingRecruitment,ProvideMeansForOrganizingCareerDevelopment,ProvideMeansForOrganizingRecruitment,bb:ProvideMeansForOrganizingRecruitment,HumanResourceManagement,,
Provide means for organizing training,ProvideMeansForOrganizingTraining,ProvideMeansForPerformanceEvaluation,ProvideMeansForOrganizingTraining,bb:ProvideMeansForOrganizingTraining,HumanResourceManagement,,
