n,Header,Feature,synonyms,en,uri,super,comment,definition
CP.3.5,,Acknowledge/Amend Other Provider Documentation,Acknowledge/Amend Other Provider Documentation,CP.3.5 Acknowledge/Amend Other Provider Documentation,EhrSfmAcknowledgeamendOtherProviderDocumentation,EhrSfmManageClinicalDocumentation,Review and indicate or amend other caregiver notes as permitted.,"Scan/review notes from physicians, nurses, technicians and other members of the health care team (e.g., Respiratory Therapist, Physical Therapist). Annotate for disparities, make additions/amendments and import when desired and permitted."
CP.4,,Manage Orders,Manage Orders,CP.4 Manage Orders,EhrSfmManageOrders,EhrSfmCareProvision,"Provide the ability to manage clinical orders and results including medication, non-medication, diagnostic tests, blood products, other biologics and referrals, using order sets as appropriate.","The provision of clinical care includes the need to order from a variety of treatments using order sets as appropriate as well as reviewing the results of treatment. Orders for treatments may include medications, non-medication therapies (e.g., physical therapy, special diet, immunizations, non-allopathic regimens); diagnostic care (e.g., laboratory , radiology); blood products and other biologics (e.g., blood transfusions, human growth hormones). Patients are often referred to other health care providers for more specialized diagnostic workup, and/or treatment. An effective EHR-S must include support and management of these processes and associated documentation."
CP.4.1,,Use Order Sets,Use Order Sets,CP.4.1 Use Order Sets,EhrSfmUseOrderSets,EhrSfmManageOrders,"Use Order Set templates to facilitate order entry by rendering the appropriate orders based on provider request, input or system configuration.","Predefined order set templates may include medication and non-medication orders (e.g., diet, activities, nursing care, prescriptions and requests for investigations). They allow a care provider to choose common orders for a particular circumstance or disease state according to standards or other criteria such as provider preference. Recommended order set templates may be presented based on patient data or other contexts. Order Set templates may also allow the provider to modify add/remove/change) orders during order entry for a particular patient."
CP.4.2,,Manage Medication Orders,Manage Medication Orders,CP.4.2 Manage Medication Orders,EhrSfmManageMedicationOrders,EhrSfmManageOrders,Create prescriptions or other medication orders with detail adequate for correct filling and administration. Provide information regarding compliance of medication orders with formularies. Provide drug utilization review functionality including alerts regarding drug interactions and allergies.,"Medications include prescribed and over the counter (OTC) drugs, allergy shots, oxygen, anesthetics, chemotherapy, and dietary supplements that were ordered, supplied, administered, or continued. Different medication orders, including new, discontinue, refill/continue, and renew require different levels and kinds of detail, as do medication orders placed in different situations. Administration
or patient instructions are available for selection by the ordering clinician, or the ordering clinician is facilitated in creating such instructions. The system may allow for the creation of common content for prescription details. Appropriate time stamps for all medication related activity are generated. This includes series of orders that are part of a therapeutic regimen, e.g., Renal Dialysis, Oncology. When it
comes to capturing the medication rationale, it is not mandatory that the provider always provide this information.
In addition, the system should present the clinician with clinical decision support functionality (such as the presentation of allergies, drugdrug interactions) during the medication ordering process. When a clinician places an order for a medication, that order may or may not comply with a formulary specific to the patient’s location or insurance coverage, if applicable. Whether the order complies with the
formulary should be communicated to the ordering clinician at an appropriate point to allow the ordering clinician to decide whether to continue with the order. Formulary-compliant alternatives to the medication being ordered may also be presented."
CP.4.2.1,,Medication Interaction and Allergy Checking,Medication Interaction and Allergy Checking,CP.4.2.1 Medication Interaction and Allergy Checking,EhrSfmMedicationInteractionAndAllergyChecking,EhrSfmManageOrders,Provide alerts for potential medication interactions and medication allergy reactions.,"Check and provide alerts at the time of medication order based upon coded, active and non-active medications for possible interactions, allergies, sensitivities, intolerances, and other adverse reactions."
CP.4.2.2,,Patient-Specific Medication Dosing and Warnings,Patient-Specific Medication Dosing and Warnings,CP.4.2.2 Patient-Specific Medication Dosing and Warnings,EhrSfmPatientspecificMedicationDosingAndWarnings,EhrSfmManageOrders,Render medication dosing and warnings related to a medication order based on patient-specific parameters.,"Provide parameter-based (e.g., weight, lean body mass, age, sensitivity, genomics, body surface area) medication dosing recommendations and warnings for simple medications and compounded medications at the time of order entry."
CP.4.2.3,,Medication Order Efficiencies,Medication Order Efficiencies,CP.4.2.3 Medication Order Efficiencies,EhrSfmMedicationOrderEfficiencies,EhrSfmManageOrders,Provide the tooling necessary to increase the efficiency of medication ordering.,"Make medication ordering workflows more efficient by allowing medications to be sorted and reviewed by key attributes (e.g., generic or trade names). Also support editing medication orders across multiple instances of an order and capturing medication orders in order sets."
CP.4.2.4,,Medication Alert Overrides,Medication Alert Overrides,CP.4.2.4 Medication Alert Overrides,EhrSfmMedicationAlertOverrides,EhrSfmManageOrders,Capture the alerts and warnings for medications being overridden and reasons for the override.,"Alerts are generated for possible contraindications to administration of medications (e.g., the administration of tetracycline to pregnant women) and the prescriber may choose to override the alert."
CP.4.3,,Manage Non-Medication Patient Care Orders,Manage Non-Medication Patient Care Orders,CP.4.3 Manage Non-Medication Patient Care Orders,EhrSfmManageNonmedicationPatientCareOrders,EhrSfmManageOrders,"Enable the origination, documentation, capture, transmission, tracking and maintenance of non-medication patient
care orders.","Non-medication orders that request actions or items can be captured and tracked including new, renewal and discontinue orders. Examples include orders to transfer a patient between units, to ambulate a patient, for medical supplies, wound care, durable medical equipment, home IV, and diet or therapy orders. Additionally, psychotherapy and other mental health counseling, behavioral counseling (e.g., smoking cessation, alcohol treatment) other surgical and non-surgical procedures, and complementary alternative medicine are included in non-medication treatments. Each item ordered includes the appropriate detail, such as order identification and instructions. Orders should be communicated to the correct service provider for completion"
CP.4.4,,Manage Orders for Diagnostic/Screening Tests,Manage Orders for Diagnostic/Screening Tests,CP.4.4 Manage Orders for Diagnostic/Screening Tests,EhrSfmManageOrdersForDiagnosticscreeningTests,EhrSfmManageOrders,"Enable the origination, documentation, transmission, tracking and maintenance of orders for diagnostic tests.","Orders for diagnostic tests (e.g., diagnostic radiology, laboratory ) are captured and tracked including new, renewal and discontinue orders. Each order includes appropriate detail, such as order identification, instructions and clinical information necessary to perform the test. Orders and supporting detailed documentation shall be communicated to the service provider for completion of the diagnostic test(s).Some systems may contain instructions, but in some settings, instructions may be provided from external sources (e.g., handouts)."
CP.4.5,,Manage Orders for Blood Products and Other Biologics,Manage Orders for Blood Products and Other Biologics,CP.4.5 Manage Orders for Blood Products and Other Biologics,EhrSfmManageOrdersForBloodProductsAndOtherBiologics,EhrSfmManageOrders,Communicate with appropriate sources or registries to manage orders for blood products or other biologics.,"Interact with a blood bank system or other source to support orders for blood products or other biologics including discontinuance orders. Use of such products in the provision of care is captured. Blood bank or other functionality that may come under jurisdictional law or other regulation (e.g., by the FDA in the United States) is not required; functional communication with such a system
is required."
CP.4.6,,Manage Orders for Referral,Manage Orders for Referral,CP.4.6 Manage Orders for Referral,EhrSfmManageOrdersForReferral,EhrSfmManageOrders,"Enable the origination, documentation and tracking of referrals between care providers or healthcare organizations,
including clinical and administrative details of the referral, and consents and authorizations for disclosures as
required.","Documentation and tracking of a referral from one care provider to another is supported, whether the referred to or referring providers are internal or external to the healthcare organization. Guidelines for whether a particular referral for a particular patient is appropriate in a clinical context and with regard to administrative factors such as insurance may be provided to the care provider at the time the referral is created. The EHR-S provides the ability to receive and act upon referral responses from providers. The EHR-S may provide the ability to capture completion of the referral appointment. Referrals may be received electronically (i.e. e-Referrals); or may be received non-electronically. If non-electronic, the system needs to allow the user to capture the referral information and manage referral request. If the system supports e-Referrals, then the system will also need to support additional functionality to manage the receipt of the referral request."
CP.5,,Manage Results,Manage Results,CP.5 Manage Results,EhrSfmManageResults,EhrSfmCareProvision,"Present, annotate, and route current and historical test results to appropriate providers for review. Provide the
ability to filter and compare results.","Results of tests are presented in an easily accessible manner to the appropriate providers. For example, flow sheets, graphs, or other tools allow care providers to view or uncover trends in test data over time. The provider may desire to annotate, filter, and/or compare results. In addition to making results viewable, it is often necessary to send results to appropriate providers using electronic messaging systems, pagers, or other mechanisms. In addition, the system may have the ability to redirect or copy specific test results to a specified individual. Documentation of notification is accommodated. Results may also be routed to patients electronically or non electronically (e.g., by hard copy). Note: “Results” are understood as applying to any type of test, whether biological or psychological. Management of the results may also require the provider's communication of the results to the patient (see function CPS.8.4 (Support for Communications between Provider and the Patient, and/or the Patient's Representative)). There may also be a need to notify public health agencies based on the result. See function POP.2 (Support Population-based Epidemiological Investigation)."
CP.5.1,,Manage Results of Diagnostic Tests,Manage Results of Diagnostic Tests,CP.5.1 Manage Results of Diagnostic Tests,EhrSfmManageResultsOfDiagnosticTests,EhrSfmManageResults,Enable the receipt and display of results for diagnostics tests.,Diagnostic test results are received and should be stored and displayed while linked to the original order in the system.
CP.6,"Manage Medication, Immunization and Treatment Administration",,"Manage Medication, Immunization and Treatment Administration","CP.6 Manage Medication, Immunization and Treatment Administration",EhrSfmManageMedicationImmunizationAndTreatmentAdministration,EhrSfmCareProvision,Provide the functionality required to support the management of medication and immunization administration.,"Provide the functionality required to support the safe administration of medications or immunizations to a patient based on medical requirement and orders within the system. This includes presenting providers with the list of medications or immunizations that are to be administered to a patient, necessary administration information, and capture all required and relevant administration details."
CP.6.1,,Manage Medication Administration,Manage Medication Administration,CP.6.1 Manage Medication Administration,EhrSfmManageMedicationAdministration,EhrSfmManageMedicationImmunizationAndTreatmentAdministration,"Present providers with the list of medications that are to be administered to a patient, necessary administration information, and capture administration details.","In a setting in which medication orders are to be administered by a provider rather than the patient, the necessary information is presented including: the list of medication orders that are to be administered; administration instructions, times or other conditions of administration; dose and route, etc. The system shall securely relate medications to be administered to the unique identity of the patient (see CPS.1.1). Additionally, the provider can record what actually was or was not administered, whether or not these facts conform to the order. Appropriate time stamps for all medication related activity are generated.For some settings that administer complete sets of medications from a variety of providers' orders, it may be useful to provide an additional check for possible drug-drug or other interactions.The EHR system shall support the five “rights” - Right Patient, Right Drug, Right Dose, Right Route, Right Time.The system should report medication administration, where appropriate, to public health or disease management authorities (e.g., oncology related medication orders should be communicated or transmitted to a cancer registry)."
CP.6.2,,Manage Immunization Administration,Manage Immunization Administration,CP.6.2 Manage Immunization Administration,EhrSfmManageImmunizationAdministration,EhrSfmManageMedicationImmunizationAndTreatmentAdministration,"Capture and maintain discrete data concerning immunizations given to a patient including date administered, type, manufacturer, lot number, and any allergic or adverse reactions. Facilitate the interaction with an immunization registry to allow maintenance of a patient’s immunization history.","During an encounter, recommendations based on accepted immunization schedules are presented to the provider. Allergen and adverse reaction histories are checked prior to giving the immunization. If an immunization is administered, discrete data elements associated with the immunization including date, type, immunization expiration date, manufacturer and lot number are recorded. Any new adverse or allergic reactions are noted. If required, a report is made to the public health immunization registry or other organization (e.g., military unit commander, refugee program leadership). This function should include the ability to use GTIN barcode scanners to capture vaccine information (NDC, lot number, expiration date)."
CP.6.3,,Manage Treatment Administration,Manage Treatment Administration,CP.6.3 Manage Treatment Administration,EhrSfmManageTreatmentAdministration,EhrSfmManageMedicationImmunizationAndTreatmentAdministration,Provide the functionality required to support the management of treatment administration and documentation. (Treatment defined as the administration or application of remedies to a patient for a disease or injury; medicinal or surgical management; therapy.),"Provide the functionality required to support the documentation of non-medication treatments (e.g., wound dressing change that includes use of a topical cream or sterile wash during that process) to a patient based on clinical needs and requirements and provider orders within the system. This includes presenting end users with the list of clinical treatments that are to be administered to a patient, necessary administration information, and capture all required and relevant documentation details."
CP.7,Manage Future Care,,Manage Future Care,CP.7 Manage Future Care,EhrSfmManageFutureCare,EhrSfmCareProvision,Provide the functionality to manage treatment and care planning through presentation of guidelines and protocols as well as managing recommendations for future care.,The presentation of appropriate guidelines and protocols for future care and the capture and management of recommendations for future care are required to ensure lifetime care of the patient. This includes the management of recommendations for post-encounter care and linkage of recommendations to other components in the health record such as the problem lists and other source documentation.
CP.7.1,,Present Guidelines and Protocols for Planning Care,Present Guidelines and Protocols for Planning Care,CP.7.1 Present Guidelines and Protocols for Planning Care,EhrSfmPresentGuidelinesAndProtocolsForPlanningCare,EhrSfmManageFutureCare,"Present organizational guidelines for patient care as appropriate to support planning of care, including order entry and clinical documentation.","Guidelines, and protocols presented for planning care may be site specific, community or industry-wide standards."
CP.7.2,,Manage Recommendations for Future Care,Manage Recommendations for Future Care,CP.7.2 Manage Recommendations for Future Care,EhrSfmManageRecommendationsForFutureCare,EhrSfmManageFutureCare,Document and support the management of the disposition process for a patient by managing recommendations for future care.,"Patient encounters or treatments can end in many different states and support for these requires that the EHR support the ability to capture and maintain recommendations for the further future care of the patient. The EHR should accommodate, at a minimum, the following possible recommendations for future care (or dispositions) along with other supporting information for the recommendations: - discharge, - admission, - transfer, - death, - left without being seen (LWBS), - left without treatment (LWOT), - elopements (i.e. leaving without notifying the facility or wandering), - left against medical advice (AMA), - patients triaged to other clinics, and - administrative errors."
CP.8,Manage Patient Education & Communication,,Manage Patient Education & Communication,CP.8 Manage Patient Education & Communication,EhrSfmManagePatientEducationCommunication,EhrSfmCareProvision,Provide the functionality to effectively communicate with the patient regarding their care and document the communication as part of the patient's medical record.,"During an encounter with a patient or when any medical decision is made that affects the patient and requires action from the patient it is necessary to communicate effectively with the patient (or their representative) to ensure that they can participate appropriately in their care. This includes providing instructions pertaining to preparation for a procedure, self-administration of medications and self care."
CP.8.1,,"Generate, Record and Distribute Patient- Specific Instructions","Generate, Record and Distribute Patient- Specific Instructions","CP.8.1 Generate, Record and Distribute Patient- Specific Instructions",EhrSfmGenerateRecordAndDistributePatientSpecificInstructions,EhrSfmManagePatientEducationCommunication,Generate and record patient-specific instructions related to pre- and post-procedural and post-treatment/discharge requirements.,"When a patient is scheduled for a test, procedure, or discharge, specific instructions about diet, clothing, transportation assistance, convalescence, follow-up with physician, etc., may be generated and recorded, including the timing relative to the scheduled event. In an outpatient scenario, similar instructions for post-diagnosis, and/or post-treatment needs may also be generated and recorded (e.g., exercise instructions for low back pain, wound or burn care)."
CP.9,Manage Care Coordination & Reporting,,Manage Care Coordination & Reporting,CP.9 Manage Care Coordination & Reporting,EhrSfmManageCareCoordinationReporting,EhrSfmCareProvision,Provide the functionality required to coordinate care with other providers and report care provided.,"During care provision it is necessary to coordinate care with other providers, internal or external to the organization, as well as to communicate the care provided."
CP.9.1,,Produce a Summary Record of Care,Produce a Summary Record of Care,CP.9.1 Produce a Summary Record of Care,EhrSfmProduceASummaryRecordOfCare,EhrSfmManageCareCoordinationReporting,"Render a summarized review of a patient's episodic, and/or comprehensive EHR, subject to jurisdictional laws and organizational policies related to privacy and confidentiality.","Create summary views and reports at the conclusion of an episode of care. Create service reports at the completion of an episode of care such as, but not limited to, discharge summaries, specialist or consultation reports and public health reports, using information captured in the EHR and without additional input from clinicians."
CP.9.2,,Capture Health Service Report Information,Capture Health Service Report Information,CP.9.2 Capture Health Service Report Information,EhrSfmCaptureHealthServiceReportInformation,EhrSfmManageCareCoordinationReporting,"Support the creation of health service reports to authorized health entities that a provider may be required to generate (e.g., the creation of an oncologist's report that must be submitted to a national cancer registry).","Providers are prompted to collect sufficient information in the course of care to avoid duplicate, retrospective or other additional data entry as part of supporting health management programs and reporting, for example public health, such as notifiable condition reports, immunization, cancer registry and discharge data."
,,,, ,,,,
CPS,Care Provision Support,,Care Provision Support,CPS Care Provision Support,EhrSfmCareProvisionSupport,EhrSfmManageCareCoordinationReporting,,
